time	Torso_X	Torso_Y	Torso_Z	Torso_RXV	Torso_RYV	Torso_RZV	Torso_XV	Torso_YV	Torso_ZV	Torso_QW	Torso_QX	Torso_QY	Torso_QZ	Torso_CMX	Torso_CMY	Torso_CMZ	RightThigh_X	RightThigh_Y	RightThigh_Z	RightThigh_RXV	RightThigh_RYV	RightThigh_RZV	RightThigh_XV	RightThigh_YV	RightThigh_ZV	RightThigh_QW	RightThigh_QX	RightThigh_QY	RightThigh_QZ	RightThigh_CMX	RightThigh_CMY	RightThigh_CMZ	RightLeg_X	RightLeg_Y	RightLeg_Z	RightLeg_RXV	RightLeg_RYV	RightLeg_RZV	RightLeg_XV	RightLeg_YV	RightLeg_ZV	RightLeg_QW	RightLeg_QX	RightLeg_QY	RightLeg_QZ	RightLeg_CMX	RightLeg_CMY	RightLeg_CMZ	RightFoot_X	RightFoot_Y	RightFoot_Z	RightFoot_RXV	RightFoot_RYV	RightFoot_RZV	RightFoot_XV	RightFoot_YV	RightFoot_ZV	RightFoot_QW	RightFoot_QX	RightFoot_QY	RightFoot_QZ	RightFoot_CMX	RightFoot_CMY	RightFoot_CMZ	LeftThigh_X	LeftThigh_Y	LeftThigh_Z	LeftThigh_RXV	LeftThigh_RYV	LeftThigh_RZV	LeftThigh_XV	LeftThigh_YV	LeftThigh_ZV	LeftThigh_QW	LeftThigh_QX	LeftThigh_QY	LeftThigh_QZ	LeftThigh_CMX	LeftThigh_CMY	LeftThigh_CMZ	LeftLeg_X	LeftLeg_Y	LeftLeg_Z	LeftLeg_RXV	LeftLeg_RYV	LeftLeg_RZV	LeftLeg_XV	LeftLeg_YV	LeftLeg_ZV	LeftLeg_QW	LeftLeg_QX	LeftLeg_QY	LeftLeg_QZ	LeftLeg_CMX	LeftLeg_CMY	LeftLeg_CMZ	LeftFoot_X	LeftFoot_Y	LeftFoot_Z	LeftFoot_RXV	LeftFoot_RYV	LeftFoot_RZV	LeftFoot_XV	LeftFoot_YV	LeftFoot_ZV	LeftFoot_QW	LeftFoot_QX	LeftFoot_QY	LeftFoot_QZ	LeftFoot_CMX	LeftFoot_CMY	LeftFoot_CMZ	RightArm_X	RightArm_Y	RightArm_Z	RightArm_RXV	RightArm_RYV	RightArm_RZV	RightArm_XV	RightArm_YV	RightArm_ZV	RightArm_QW	RightArm_QX	RightArm_QY	RightArm_QZ	RightArm_CMX	RightArm_CMY	RightArm_CMZ	RightForearm_X	RightForearm_Y	RightForearm_Z	RightForearm_RXV	RightForearm_RYV	RightForearm_RZV	RightForearm_XV	RightForearm_YV	RightForearm_ZV	RightForearm_QW	RightForearm_QX	RightForearm_QY	RightForearm_QZ	RightForearm_CMX	RightForearm_CMY	RightForearm_CMZ	RightHand_X	RightHand_Y	RightHand_Z	RightHand_RXV	RightHand_RYV	RightHand_RZV	RightHand_XV	RightHand_YV	RightHand_ZV	RightHand_QW	RightHand_QX	RightHand_QY	RightHand_QZ	RightHand_CMX	RightHand_CMY	RightHand_CMZ	LeftArm_X	LeftArm_Y	LeftArm_Z	LeftArm_RXV	LeftArm_RYV	LeftArm_RZV	LeftArm_XV	LeftArm_YV	LeftArm_ZV	LeftArm_QW	LeftArm_QX	LeftArm_QY	LeftArm_QZ	LeftArm_CMX	LeftArm_CMY	LeftArm_CMZ	LeftForearm_X	LeftForearm_Y	LeftForearm_Z	LeftForearm_RXV	LeftForearm_RYV	LeftForearm_RZV	LeftForearm_XV	LeftForearm_YV	LeftForearm_ZV	LeftForearm_QW	LeftForearm_QX	LeftForearm_QY	LeftForearm_QZ	LeftForearm_CMX	LeftForearm_CMY	LeftForearm_CMZ	LeftHand_X	LeftHand_Y	LeftHand_Z	LeftHand_RXV	LeftHand_RYV	LeftHand_RZV	LeftHand_XV	LeftHand_YV	LeftHand_ZV	LeftHand_QW	LeftHand_QX	LeftHand_QY	LeftHand_QZ	LeftHand_CMX	LeftHand_CMY	LeftHand_CMZ
5e-05	0	0	0.804042	0.354057	0.0598452	0.607364	-1.09588	0.142904	-0.175967	0.0863131	0.0849825	0.707267	-0.696492	-0.183454	-4.20052e-06	0.758593	-0.582022	-0.100002	0.65827	0.00834663	-0.358982	1.5127	0.623635	1.01077	-0.211874	0.58317	0.590447	0.398523	-0.390467	-0.535598	-0.0981324	0.544382	-0.468793	-0.0954427	0.380495	0.00544218	-0.359038	1.66411	0.635463	1.45949	-0.10418	0.584745	0.592054	0.396131	-0.388105	-0.415676	-0.0933481	0.253145	-0.347547	-0.0906615	0.0898041	-0.313263	0.175511	1.74977	1.39671	-1.54531	0.00891747	0.628129	0.638733	-0.315386	0.313058	-0.280991	-0.0917191	0.177378	-0.582765	0.0999749	0.661249	0.206481	-0.293775	-1.88151	0.0153255	1.22818	-0.211874	0.444619	0.449242	0.552838	-0.543016	-0.607487	0.101678	0.540771	-0.643063	0.104129	0.3674	0.203113	-0.296113	-1.71684	0.0229043	0.663506	-0.123742	0.447712	0.452391	0.550264	-0.540468	-0.669254	0.10605	0.231922	-0.702847	0.108514	0.0581568	-0.358044	-0.0272488	-1.77661	0.0946762	-0.0813446	-0.0304662	0.691817	0.702641	-0.117235	0.118071	-0.598938	0.108362	0.0942515	0.000742681	-0.199976	0.801063	0.274991	-0.230907	-1.16722	-0.647393	0.872319	-0.175967	0.37057	0.373882	0.60635	-0.596012	-0.0919795	-0.197547	0.614889	-0.159738	-0.195772	0.478839	0.255395	-0.252411	-1.38422	-0.608667	0.503046	-0.0928405	0.39441	0.398139	0.590706	-0.580511	-0.228531	-0.193469	0.307121	-0.310339	-0.19073	0.102915	-0.285644	-0.21759	-2.02001	0.028115	0.610737	0.00938584	0.696901	0.707043	0.0868227	-0.0829512	-0.118049	-0.189313	0.0557288	-0.000742681	0.199976	0.807022	0.252604	-0.255205	8.11716	-0.462395	1.02917	-0.175967	0.397597	0.401381	0.588508	-0.578333	-0.0759596	0.202586	0.613116	-0.130926	0.204493	0.471415	0.0116092	-0.358892	-2.99373	2.34845	3.21119	-0.0840935	0.581389	0.58863	0.401202	-0.393113	-0.0626614	0.207308	0.299493	0.018518	0.210655	0.095046	-0.348122	-0.0880272	3.64759	2.45437	-1.86714	0.0612577	0.699394	0.710106	-0.0565509	0.0583125	0.213905	0.210903	0.127106
0.0001	5.48714e-05	8.90823e-06	0.804049	0.353818	0.059476	0.606083	-1.09574	0.143439	-0.176069	0.0863218	0.084995	0.707259	-0.696497	-0.183398	5.36125e-06	0.758594	-0.581964	-0.0999906	0.65826	0.00799943	-0.358693	1.51774	0.623459	1.01067	-0.211755	0.583188	0.590459	0.398495	-0.39045	-0.535531	-0.0981237	0.544376	-0.468714	-0.0954371	0.380494	0.00509462	-0.358746	1.65347	0.63531	1.4609	-0.104147	0.584764	0.592067	0.396102	-0.388086	-0.415586	-0.0933451	0.253148	-0.347443	-0.0906617	0.089813	-0.312835	0.175666	1.727	1.39511	-1.54421	0.00885773	0.628122	0.638713	-0.315414	0.313085	-0.280895	-0.0917184	0.177393	-0.582705	0.0999859	0.661236	0.206081	-0.293692	-1.86991	0.0150158	1.22791	-0.211755	0.444595	0.449214	0.552853	-0.543043	-0.607438	0.101687	0.54076	-0.64303	0.104135	0.367393	0.202712	-0.296028	-1.7396	0.0226368	0.666722	-0.123647	0.447691	0.452366	0.550277	-0.540493	-0.669233	0.106054	0.231917	-0.702841	0.108516	0.0581545	-0.357769	-0.0269456	-1.80546	0.0913883	-0.0791294	-0.0303987	0.691829	0.70264	-0.117205	0.118039	-0.598929	0.108364	0.09424	0.000796121	-0.199968	0.801073	0.274575	-0.23094	-1.17353	-0.646984	0.87259	-0.176069	0.370553	0.373864	0.606355	-0.596029	-0.0919369	-0.197541	0.614904	-0.159703	-0.195767	0.478858	0.254981	-0.252407	-1.37426	-0.608428	0.501011	-0.092931	0.394391	0.398117	0.590714	-0.580531	-0.228508	-0.193467	0.307144	-0.31033	-0.190731	0.102944	-0.285575	-0.217189	-2.01923	0.0300419	0.610221	0.00929363	0.696902	0.707033	0.0868552	-0.0829896	-0.118045	-0.189316	0.0557386	-0.000686378	0.199985	0.807025	0.252068	-0.255316	8.11873	-0.461488	1.02945	-0.176069	0.397715	0.4015	0.58842	-0.578258	-0.0758246	0.202593	0.613088	-0.130733	0.204499	0.471365	0.0113402	-0.358603	-2.9971	2.34791	3.2125	-0.0841557	0.581363	0.588596	0.401241	-0.393162	-0.0624946	0.20731	0.299433	0.0186542	0.210654	0.0949738	-0.347927	-0.087587	3.64531	2.45358	-1.86743	0.0610784	0.699394	0.710095	-0.0566177	0.0583742	0.214035	0.2109	0.127069
0.00015	0.000109742	1.78217e-05	0.804055	0.351906	0.0592973	0.60753	-1.09566	0.142464	-0.175804	0.0863306	0.0850076	0.707252	-0.696502	-0.183341	1.49245e-05	0.758595	-0.581905	-0.0999796	0.65825	0.00808119	-0.356775	1.51934	0.62358	1.01057	-0.211383	0.583207	0.59047	0.398468	-0.390434	-0.535464	-0.098115	0.54437	-0.468634	-0.0954316	0.380493	0.00518948	-0.356829	1.64641	0.635444	1.46127	-0.10435	0.584784	0.59208	0.396072	-0.388067	-0.415496	-0.093342	0.253151	-0.34734	-0.0906619	0.0898218	-0.311225	0.174623	1.72588	1.39344	-1.5434	0.00805101	0.628115	0.638693	-0.315441	0.313113	-0.280799	-0.0917178	0.177407	-0.582645	0.0999969	0.661223	0.205133	-0.292018	-1.8503	0.0146355	1.2277	-0.211383	0.444571	0.449187	0.552868	-0.54307	-0.60739	0.101696	0.54075	-0.642998	0.104142	0.367386	0.20178	-0.294344	-1.77425	0.0223257	0.672398	-0.123777	0.447669	0.45234	0.550291	-0.540519	-0.669212	0.106059	0.231912	-0.702836	0.108517	0.0581523	-0.355845	-0.0269851	-1.83365	0.0870133	-0.0762338	-0.0310589	0.69184	0.702639	-0.117175	0.118006	-0.59892	0.108365	0.0942284	0.000849563	-0.199959	0.801082	0.27322	-0.229575	-1.17062	-0.647487	0.872118	-0.175804	0.370537	0.373845	0.606359	-0.596046	-0.0918944	-0.197534	0.614919	-0.159669	-0.195763	0.478877	0.253744	-0.250934	-1.3759	-0.608888	0.501619	-0.0931573	0.394372	0.398096	0.590721	-0.58055	-0.228485	-0.193465	0.307168	-0.310321	-0.190732	0.102973	-0.283937	-0.216179	-2.02162	0.0300318	0.610685	0.00847102	0.696904	0.707024	0.0868877	-0.083028	-0.118041	-0.189319	0.0557485	-0.000630079	0.199994	0.807028	0.250727	-0.253948	8.15711	-0.462148	1.02875	-0.175804	0.397834	0.401618	0.588332	-0.578184	-0.0756896	0.2026	0.613061	-0.130541	0.204504	0.471315	0.0114846	-0.356682	-3.03494	2.35455	3.22388	-0.0843829	0.581337	0.588563	0.40128	-0.393211	-0.0623277	0.207313	0.299373	0.0187905	0.210652	0.0949015	-0.346048	-0.0872034	3.67111	2.45052	-1.87558	0.0600732	0.699395	0.710084	-0.0566844	0.0584359	0.214166	0.210897	0.127033
0.0002	0.000164598	2.67208e-05	0.804062	0.351649	0.0589149	0.60704	-1.09546	0.142662	-0.175907	0.0863394	0.0850201	0.707245	-0.696507	-0.183285	2.44718e-05	0.758596	-0.581847	-0.0999687	0.658241	0.00772331	-0.356467	1.52101	0.623532	1.01039	-0.211256	0.583225	0.590482	0.39844	-0.390417	-0.535397	-0.0981062	0.544364	-0.468555	-0.0954261	0.380492	0.00483185	-0.356518	1.63956	0.635408	1.46159	-0.104316	0.584803	0.592093	0.396042	-0.388048	-0.415405	-0.093339	0.253155	-0.347236	-0.0906621	0.0898306	-0.310775	0.174777	1.72311	1.39186	-1.54245	0.00798727	0.628108	0.638673	-0.315469	0.31314	-0.280703	-0.0917171	0.177422	-0.582585	0.100008	0.66121	0.204713	-0.291926	-1.83225	0.0144786	1.22743	-0.211256	0.444548	0.449159	0.552883	-0.543096	-0.607341	0.101705	0.540739	-0.642965	0.104148	0.367378	0.201361	-0.294249	-1.80553	0.0222302	0.677545	-0.123678	0.447647	0.452314	0.550305	-0.540545	-0.669192	0.106063	0.231907	-0.70283	0.108519	0.0581501	-0.355552	-0.026671	-1.85898	0.0829899	-0.0737913	-0.0309898	0.691852	0.702639	-0.117144	0.117973	-0.598911	0.108367	0.0942167	0.000902997	-0.19995	0.801092	0.272783	-0.229603	-1.16954	-0.647293	0.872125	-0.175907	0.37052	0.373827	0.606364	-0.596063	-0.0918519	-0.197528	0.614934	-0.159634	-0.195758	0.478896	0.253309	-0.250924	-1.37668	-0.608667	0.501989	-0.0932498	0.394353	0.398074	0.590729	-0.58057	-0.228463	-0.193463	0.307192	-0.310312	-0.190733	0.103003	-0.28386	-0.215759	-2.02154	0.0300349	0.61046	0.00837462	0.696905	0.707014	0.0869203	-0.0830665	-0.118037	-0.189322	0.0557583	-0.000573801	0.200003	0.807031	0.250171	-0.254053	8.16125	-0.461479	1.02878	-0.175907	0.397953	0.401737	0.588244	-0.578109	-0.0755542	0.202607	0.613033	-0.130347	0.20451	0.471266	0.0112049	-0.356374	-3.04262	2.35427	3.22585	-0.084448	0.581311	0.588529	0.401319	-0.393261	-0.0621606	0.207315	0.299313	0.0189266	0.210651	0.0948289	-0.345837	-0.0867488	3.67058	2.44872	-1.87636	0.0598836	0.699396	0.710072	-0.0567516	0.058498	0.214296	0.210895	0.126996
0.00025	0.000219446	3.56249e-05	0.804068	0.351448	0.0585638	0.606606	-1.09541	0.142858	-0.17601	0.0863482	0.0850326	0.707238	-0.696512	-0.183229	3.40203e-05	0.758596	-0.581788	-0.0999578	0.658231	0.00738852	-0.356217	1.51687	0.623533	1.01035	-0.211148	0.583243	0.590494	0.398412	-0.3904	-0.53533	-0.0980975	0.544358	-0.468475	-0.0954206	0.380491	0.00449698	-0.356266	1.63898	0.635406	1.46031	-0.104283	0.584823	0.592106	0.396013	-0.38803	-0.415315	-0.093336	0.253158	-0.347132	-0.0906622	0.0898394	-0.310388	0.174942	1.7208	1.39058	-1.54172	0.00794099	0.628101	0.638653	-0.315496	0.313168	-0.280607	-0.0917164	0.177436	-0.582525	0.100019	0.661197	0.204345	-0.291871	-1.81311	0.0142898	1.22732	-0.211148	0.444525	0.449132	0.552897	-0.543123	-0.607292	0.101714	0.540728	-0.642932	0.104154	0.367371	0.200993	-0.294189	-1.83831	0.0221067	0.683176	-0.123587	0.447624	0.452288	0.550319	-0.540571	-0.669171	0.106067	0.231902	-0.702825	0.10852	0.058148	-0.355316	-0.0263834	-1.88422	0.0789896	-0.0713298	-0.0309171	0.691863	0.702638	-0.117113	0.11794	-0.598903	0.108369	0.094205	0.000956427	-0.199941	0.801102	0.272406	-0.229653	-1.16871	-0.647203	0.872235	-0.17601	0.370504	0.373808	0.606369	-0.59608	-0.0918093	-0.197522	0.614949	-0.1596	-0.195754	0.478915	0.252931	-0.250941	-1.37755	-0.608549	0.502387	-0.0933345	0.394335	0.398053	0.590736	-0.58059	-0.22844	-0.193461	0.307215	-0.310304	-0.190734	0.103032	-0.283817	-0.215392	-2.02187	0.0300432	0.610338	0.0082967	0.696906	0.707004	0.0869528	-0.0831049	-0.118033	-0.189324	0.0557681	-0.000517536	0.200012	0.807034	0.249672	-0.254184	8.1657	-0.460893	1.02895	-0.17601	0.398072	0.401855	0.588156	-0.578034	-0.0754187	0.202614	0.613006	-0.130154	0.204516	0.471216	0.010949	-0.356126	-3.04905	2.35409	3.22807	-0.0845035	0.581284	0.588495	0.401359	-0.39331	-0.0619934	0.207317	0.299253	0.0190627	0.210649	0.0947562	-0.345677	-0.0863297	3.66985	2.44768	-1.87709	0.0597274	0.699396	0.710061	-0.0568188	0.0585602	0.214426	0.210892	0.126959
0.0003	0.000274293	4.4534e-05	0.804074	0.351267	0.0582312	0.606212	-1.09538	0.143059	-0.17611	0.0863569	0.0850451	0.70723	-0.696516	-0.183173	4.35703e-05	0.758597	-0.58173	-0.0999469	0.658221	0.00706935	-0.35599	1.51277	0.623561	1.01033	-0.211049	0.583261	0.590506	0.398385	-0.390383	-0.535263	-0.0980888	0.544351	-0.468395	-0.095415	0.38049	0.00417749	-0.356036	1.6383	0.635434	1.45905	-0.104252	0.584842	0.592119	0.395983	-0.388011	-0.415225	-0.0933329	0.253161	-0.347029	-0.0906624	0.0898481	-0.310029	0.175104	1.7189	1.38929	-1.54101	0.00789945	0.628094	0.638633	-0.315523	0.313195	-0.280511	-0.0917156	0.177451	-0.582465	0.10003	0.661184	0.204002	-0.291826	-1.79601	0.0141209	1.22724	-0.211049	0.444502	0.449106	0.552912	-0.543149	-0.607243	0.101724	0.540718	-0.642899	0.104161	0.367363	0.200651	-0.29414	-1.86768	0.0219948	0.68823	-0.123501	0.447601	0.452261	0.550334	-0.540598	-0.66915	0.106071	0.231897	-0.70282	0.108522	0.058146	-0.355102	-0.026113	-1.90806	0.0754144	-0.0691281	-0.0308472	0.691875	0.702637	-0.117082	0.117905	-0.598894	0.10837	0.0941931	0.00100986	-0.199932	0.801111	0.272055	-0.229707	-1.16791	-0.647122	0.872358	-0.17611	0.370487	0.373789	0.606374	-0.596097	-0.0917667	-0.197515	0.614965	-0.159565	-0.195749	0.478934	0.25258	-0.250963	-1.3784	-0.608441	0.502781	-0.0934159	0.394316	0.398031	0.590744	-0.58061	-0.228417	-0.193459	0.307239	-0.310295	-0.190735	0.103061	-0.283783	-0.21505	-2.02226	0.0300567	0.610225	0.0082242	0.696907	0.706994	0.0869854	-0.0831433	-0.118029	-0.189327	0.0557779	-0.000461274	0.200021	0.807037	0.2492	-0.25432	8.17009	-0.460313	1.02913	-0.17611	0.398191	0.401974	0.588068	-0.577959	-0.0752832	0.202621	0.612978	-0.129961	0.204521	0.471166	0.0107088	-0.3559	-3.05549	2.3539	3.2303	-0.084555	0.581258	0.588461	0.401398	-0.39336	-0.0618262	0.20732	0.299192	0.0191987	0.210648	0.0946835	-0.345536	-0.0859309	3.6691	2.44663	-1.87782	0.0595843	0.699397	0.71005	-0.056886	0.0586223	0.214556	0.210889	0.126922
0.00035	0.000329142	5.34479e-05	0.804081	0.351109	0.0579172	0.605853	-1.09536	0.143266	-0.17621	0.0863657	0.0850576	0.707223	-0.696521	-0.183117	5.31218e-05	0.758598	-0.581671	-0.099936	0.658212	0.00676522	-0.355789	1.5087	0.623617	1.01032	-0.21096	0.583279	0.590517	0.398357	-0.390366	-0.535195	-0.0980801	0.544345	-0.468316	-0.0954095	0.380489	0.00387277	-0.355833	1.63752	0.635489	1.45781	-0.104223	0.584861	0.592132	0.395954	-0.387992	-0.415135	-0.0933299	0.253164	-0.346926	-0.0906625	0.0898569	-0.309699	0.175267	1.71722	1.38797	-1.54032	0.00786408	0.628086	0.638614	-0.31555	0.313222	-0.280415	-0.0917149	0.177465	-0.582405	0.100041	0.661171	0.203686	-0.291794	-1.78089	0.0139714	1.22719	-0.21096	0.444479	0.449079	0.552926	-0.543175	-0.607194	0.101733	0.540707	-0.642865	0.104167	0.367356	0.200336	-0.294104	-1.8937	0.0218941	0.692715	-0.123422	0.447578	0.452233	0.550349	-0.540625	-0.669129	0.106076	0.231892	-0.702816	0.108524	0.058144	-0.354913	-0.0258592	-1.93043	0.0722552	-0.0671806	-0.0307788	0.691887	0.702637	-0.11705	0.117871	-0.598886	0.108372	0.0941812	0.0010633	-0.199923	0.801121	0.271734	-0.229766	-1.16716	-0.647049	0.872492	-0.17621	0.370471	0.373771	0.606378	-0.596114	-0.0917242	-0.197509	0.61498	-0.15953	-0.195745	0.478953	0.252258	-0.250994	-1.37924	-0.608341	0.503173	-0.0934939	0.394297	0.39801	0.590752	-0.58063	-0.228394	-0.193457	0.307263	-0.310286	-0.190735	0.103091	-0.283761	-0.214736	-2.0227	0.030075	0.610119	0.00815854	0.696909	0.706984	0.087018	-0.0831817	-0.118025	-0.18933	0.0557877	-0.000405015	0.20003	0.80704	0.248756	-0.254465	8.17435	-0.459735	1.02935	-0.17621	0.398311	0.402093	0.58798	-0.577884	-0.0751476	0.202628	0.612951	-0.129767	0.204527	0.471116	0.0104839	-0.355699	-3.06189	2.3537	3.23251	-0.0846022	0.581231	0.588427	0.401438	-0.39341	-0.061659	0.207322	0.299132	0.0193347	0.210647	0.0946108	-0.345417	-0.0855525	3.66827	2.44559	-1.87852	0.059456	0.699398	0.710039	-0.0569531	0.0586845	0.214686	0.210886	0.126885
0.0004	0.000383992	6.23667e-05	0.804087	0.350971	0.0576204	0.60553	-1.09537	0.143478	-0.176307	0.0863745	0.0850701	0.707216	-0.696526	-0.18306	6.26751e-05	0.758599	-0.581613	-0.0999251	0.658202	0.00647527	-0.35561	1.50465	0.623699	1.01031	-0.210879	0.583298	0.590529	0.39833	-0.39035	-0.535128	-0.0980714	0.544339	-0.468236	-0.095404	0.380488	0.00358199	-0.355651	1.63665	0.63557	1.45659	-0.104196	0.584881	0.592144	0.395924	-0.387974	-0.415045	-0.0933268	0.253167	-0.346822	-0.0906627	0.0898656	-0.309395	0.175428	1.71573	1.38663	-1.53965	0.00783363	0.628079	0.638594	-0.315577	0.31325	-0.280319	-0.0917142	0.17748	-0.582345	0.100052	0.661159	0.203393	-0.291773	-1.7676	0.0138403	1.22717	-0.210879	0.444457	0.449053	0.55294	-0.543201	-0.607145	0.101742	0.540696	-0.642831	0.104174	0.367348	0.200045	-0.294079	-1.91664	0.0218045	0.696682	-0.123347	0.447554	0.452205	0.550365	-0.540652	-0.669108	0.10608	0.231886	-0.702811	0.108525	0.058142	-0.354745	-0.0256211	-1.9513	0.069478	-0.0654673	-0.0307126	0.691899	0.702636	-0.117017	0.117836	-0.598878	0.108373	0.0941692	0.00111674	-0.199914	0.801131	0.271439	-0.229829	-1.16644	-0.646984	0.872637	-0.176307	0.370454	0.373752	0.606383	-0.596131	-0.0916816	-0.197503	0.614995	-0.159496	-0.19574	0.478972	0.251961	-0.25103	-1.38007	-0.608249	0.503563	-0.0935688	0.394278	0.397988	0.590759	-0.580649	-0.228371	-0.193455	0.307286	-0.310277	-0.190736	0.10312	-0.283749	-0.214446	-2.02319	0.0300978	0.610021	0.00809841	0.69691	0.706975	0.0870506	-0.0832201	-0.118021	-0.189332	0.0557975	-0.000348758	0.200039	0.807043	0.248337	-0.254616	8.17854	-0.459162	1.02958	-0.176307	0.39843	0.402212	0.587891	-0.577809	-0.075012	0.202635	0.612923	-0.129574	0.204533	0.471066	0.0102733	-0.355521	-3.0683	2.35348	3.23473	-0.0846455	0.581205	0.588393	0.401478	-0.393459	-0.0614917	0.207325	0.299072	0.0194707	0.210645	0.094538	-0.345315	-0.0851927	3.66741	2.44454	-1.87921	0.0593404	0.699398	0.710028	-0.0570202	0.0587466	0.214816	0.210883	0.126848
0.00045	0.000438844	7.12902e-05	0.804093	0.35085	0.0573383	0.605238	-1.09538	0.143693	-0.176404	0.0863833	0.0850826	0.707208	-0.696531	-0.183004	7.22301e-05	0.7586	-0.581554	-0.0999142	0.658193	0.00619762	-0.35545	1.50069	0.623802	1.01032	-0.210807	0.583316	0.590541	0.398302	-0.390333	-0.535061	-0.0980627	0.544333	-0.468157	-0.0953985	0.380486	0.00330331	-0.355489	1.63562	0.635673	1.4554	-0.104172	0.5849	0.592157	0.395895	-0.387955	-0.414956	-0.0933238	0.253171	-0.346719	-0.0906628	0.0898743	-0.309114	0.175589	1.7144	1.38527	-1.53898	0.00780743	0.628072	0.638574	-0.315604	0.313277	-0.280224	-0.0917135	0.177494	-0.582285	0.100063	0.661146	0.203121	-0.291762	-1.75585	0.0137259	1.22717	-0.210807	0.444434	0.449027	0.552954	-0.543227	-0.607095	0.101751	0.540686	-0.642797	0.10418	0.367341	0.199775	-0.294063	-1.93699	0.0217251	0.700212	-0.123278	0.44753	0.452177	0.55038	-0.54068	-0.669087	0.106084	0.231881	-0.702807	0.108527	0.0581401	-0.354596	-0.0253965	-1.97076	0.0670274	-0.0639552	-0.0306482	0.691911	0.702636	-0.116984	0.117801	-0.59887	0.108375	0.0941571	0.00117019	-0.199906	0.80114	0.271166	-0.229896	-1.16575	-0.646926	0.87279	-0.176404	0.370438	0.373734	0.606388	-0.596148	-0.091639	-0.197496	0.61501	-0.159461	-0.195736	0.478991	0.251686	-0.251072	-1.38088	-0.608164	0.503952	-0.093641	0.394259	0.397967	0.590767	-0.580669	-0.228348	-0.193452	0.30731	-0.310269	-0.190737	0.103149	-0.283745	-0.214178	-2.02373	0.0301247	0.60993	0.00804308	0.696911	0.706965	0.0870832	-0.0832586	-0.118017	-0.189335	0.0558072	-0.000292502	0.200048	0.807047	0.24794	-0.254772	8.18267	-0.458593	1.02983	-0.176404	0.398549	0.402331	0.587803	-0.577733	-0.0748764	0.202642	0.612896	-0.12938	0.204538	0.471016	0.0100752	-0.355361	-3.0747	2.35326	3.23694	-0.0846855	0.581178	0.588359	0.401518	-0.393509	-0.0613244	0.207327	0.299012	0.0196066	0.210644	0.0944653	-0.34523	-0.0848492	3.66653	2.44349	-1.87989	0.0592359	0.699399	0.710017	-0.0570873	0.0588087	0.214947	0.210881	0.126811
0.0005	0.0004937	8.02184e-05	0.8041	0.350742	0.0570677	0.604973	-1.09541	0.143911	-0.176499	0.0863921	0.085095	0.707201	-0.696536	-0.182948	8.17871e-05	0.758601	-0.581496	-0.0999033	0.658183	0.00592938	-0.355305	1.4968	0.623924	1.01034	-0.21074	0.583334	0.590552	0.398275	-0.390316	-0.534994	-0.098054	0.544327	-0.468077	-0.095393	0.380485	0.00303386	-0.355342	1.63444	0.635795	1.45424	-0.104148	0.584919	0.59217	0.395865	-0.387936	-0.414866	-0.0933208	0.253174	-0.346616	-0.0906629	0.0898829	-0.308851	0.175749	1.71315	1.38388	-1.53833	0.00778471	0.628065	0.638554	-0.315631	0.313304	-0.280128	-0.0917128	0.177509	-0.582226	0.100074	0.661133	0.202865	-0.291758	-1.74527	0.0136251	1.22719	-0.21074	0.444412	0.449001	0.552967	-0.543252	-0.607046	0.10176	0.540675	-0.642763	0.104187	0.367333	0.199522	-0.294054	-1.95531	0.0216545	0.703408	-0.123212	0.447505	0.452149	0.550396	-0.540707	-0.669066	0.106089	0.231876	-0.702802	0.108528	0.0581382	-0.354461	-0.0251823	-1.98899	0.0648346	-0.0626026	-0.0305851	0.691922	0.702636	-0.116951	0.117765	-0.598863	0.108377	0.094145	0.00122364	-0.199897	0.80115	0.270911	-0.229966	-1.16508	-0.646872	0.872948	-0.176499	0.370422	0.373715	0.606392	-0.596165	-0.0915964	-0.19749	0.615025	-0.159426	-0.195731	0.47901	0.251429	-0.251118	-1.38168	-0.608083	0.504339	-0.0937112	0.39424	0.397945	0.590774	-0.580689	-0.228326	-0.19345	0.307334	-0.31026	-0.190738	0.103178	-0.283748	-0.213926	-2.0243	0.0301553	0.609842	0.00799166	0.696912	0.706955	0.0871158	-0.083297	-0.118013	-0.189338	0.055817	-0.000236245	0.200057	0.80705	0.24756	-0.254933	8.18676	-0.458024	1.03009	-0.176499	0.398669	0.40245	0.587715	-0.577658	-0.0747407	0.20265	0.612868	-0.129186	0.204544	0.470967	0.00988668	-0.355217	-3.08111	2.35303	3.23916	-0.0847229	0.581151	0.588325	0.401558	-0.393559	-0.061157	0.20733	0.298951	0.0197425	0.210642	0.0943925	-0.345157	-0.0845181	3.66562	2.44244	-1.88057	0.0591401	0.699399	0.710006	-0.0571544	0.0588708	0.215076	0.210878	0.126774
